size,sortedness,uniqueRatio,bestAlgorithm,datasetType
5698,49.18,0.9705,Quick,LargeRandom
2120,49.98,0.9873,Quick,LargeRandom
9582,50.19,0.9540,Quick,LargeRandom
8835,49.83,0.9547,Quick,LargeRandom
4302,49.34,0.9800,Quick,LargeRandom
4568,49.73,0.9755,Quick,LargeRandom
4699,50.17,0.9760,Quick,LargeRandom
6993,49.84,0.9630,Quick,LargeRandom
8738,50.20,0.9570,Quick,LargeRandom
4144,49.87,0.9792,Quick,LargeRandom
8240,49.69,0.9538,Quick,LargeRandom
4263,49.79,0.9798,Quick,LargeRandom
2642,49.49,0.9864,Quick,LargeRandom
3936,49.71,0.9797,Quick,LargeRandom
3495,49.48,0.9837,Quick,LargeRandom
2445,50.00,0.9890,Quick,LargeRandom
5305,49.98,0.9723,Quick,LargeRandom
5210,50.22,0.9756,Quick,LargeRandom
7424,49.76,0.9644,Quick,LargeRandom
6464,50.12,0.9669,Quick,LargeRandom
4028,49.84,0.9794,Quick,LargeRandom
1262,50.36,0.9929,Quick,LargeRandom
7953,50.35,0.9668,Quick,LargeRandom
9910,50.06,0.9516,Quick,LargeRandom
1597,50.00,0.9931,Quick,LargeRandom
4261,49.65,0.9817,Quick,LargeRandom
7586,50.48,0.9632,Quick,LargeRandom
5990,50.23,0.9708,Quick,LargeRandom
5709,49.63,0.9728,Quick,LargeRandom
8576,49.49,0.9580,Quick,LargeRandom
6159,50.08,0.9664,Quick,LargeRandom
3068,50.51,0.9853,Quick,LargeRandom
4291,49.77,0.9776,Quick,LargeRandom
9536,50.07,0.9543,Quick,LargeRandom
1634,48.50,0.9927,Quick,LargeRandom
1365,50.07,0.9941,Quick,LargeRandom
8790,49.93,0.9584,Quick,LargeRandom
3128,49.47,0.9853,Quick,LargeRandom
1808,48.42,0.9934,Quick,LargeRandom
1274,48.63,0.9906,Quick,LargeRandom
4246,48.83,0.9809,Quick,LargeRandom
7429,49.96,0.9635,Quick,LargeRandom
2468,50.22,0.9866,Quick,LargeRandom
6775,49.82,0.9653,Quick,LargeRandom
8692,50.16,0.9598,Quick,LargeRandom
1568,49.52,0.9936,Quick,LargeRandom
9184,49.95,0.9529,Quick,LargeRandom
4529,50.31,0.9784,Quick,LargeRandom
6103,49.95,0.9687,Quick,LargeRandom
9384,49.74,0.9571,Quick,LargeRandom
6652,49.36,0.9693,Quick,LargeRandom
6607,50.71,0.9669,Quick,LargeRandom
2425,49.67,0.9876,Quick,LargeRandom
7047,50.11,0.9669,Quick,LargeRandom
4847,50.37,0.9748,Quick,LargeRandom
5373,50.06,0.9773,Quick,LargeRandom
8764,50.52,0.9571,Quick,LargeRandom
1289,50.85,0.9938,Quick,LargeRandom
4569,49.96,0.9783,Quick,LargeRandom
8778,49.93,0.9608,Quick,LargeRandom
7450,49.87,0.9623,Quick,LargeRandom
1919,50.99,0.9875,Quick,LargeRandom
4931,49.96,0.9718,Quick,LargeRandom
9045,49.75,0.9595,Quick,LargeRandom
9609,50.22,0.9567,Quick,LargeRandom
9850,50.64,0.9530,Quick,LargeRandom
7745,50.01,0.9586,Quick,LargeRandom
5777,50.47,0.9678,Quick,LargeRandom
6920,49.91,0.9637,Quick,LargeRandom
5072,50.29,0.9779,Quick,LargeRandom
7310,49.71,0.9668,Quick,LargeRandom
1041,50.77,0.9942,Quick,LargeRandom
8131,49.75,0.9587,Quick,LargeRandom
1863,48.98,0.9887,Quick,LargeRandom
4058,50.26,0.9800,Quick,LargeRandom
6914,50.04,0.9690,Quick,LargeRandom
3891,50.33,0.9823,Quick,LargeRandom
7386,50.16,0.9647,Quick,LargeRandom
5048,50.43,0.9729,Quick,LargeRandom
7438,50.10,0.9602,Quick,LargeRandom
6797,49.68,0.9659,Quick,LargeRandom
5480,49.53,0.9750,Quick,LargeRandom
5696,50.75,0.9738,Quick,LargeRandom
7158,49.97,0.9652,Quick,LargeRandom
8185,49.88,0.9611,Quick,LargeRandom
4019,50.02,0.9786,Quick,LargeRandom
7922,49.91,0.9621,Quick,LargeRandom
5736,50.10,0.9730,Quick,LargeRandom
8652,49.80,0.9565,Quick,LargeRandom
7761,50.32,0.9621,Quick,LargeRandom
7443,50.23,0.9647,Quick,LargeRandom
7368,49.93,0.9639,Quick,LargeRandom
6338,50.54,0.9713,Quick,LargeRandom
4388,50.40,0.9795,Quick,LargeRandom
6816,50.20,0.9651,Quick,LargeRandom
2121,49.10,0.9896,Quick,LargeRandom
7786,50.10,0.9586,Quick,LargeRandom
5166,49.84,0.9727,Quick,LargeRandom
2392,49.81,0.9845,Quick,LargeRandom
7209,50.42,0.9652,Quick,LargeRandom
4738,51.13,0.9757,Quick,LargeRandom
1654,49.30,0.9915,Quick,LargeRandom
9323,50.05,0.9514,Quick,LargeRandom
2248,51.18,0.9889,Quick,LargeRandom
8354,49.92,0.9593,Quick,LargeRandom
7749,50.30,0.9613,Quick,LargeRandom
8740,50.15,0.9564,Quick,LargeRandom
6311,49.75,0.9715,Quick,LargeRandom
5484,50.08,0.9747,Quick,LargeRandom
3860,49.88,0.9842,Quick,LargeRandom
2962,50.66,0.9855,Quick,LargeRandom
9045,50.02,0.9522,Quick,LargeRandom
4708,49.46,0.9732,Quick,LargeRandom
6258,51.03,0.9733,Quick,LargeRandom
6682,50.59,0.9726,Quick,LargeRandom
3385,50.24,0.9840,Quick,LargeRandom
9918,49.85,0.9540,Quick,LargeRandom
4121,50.39,0.9784,Quick,LargeRandom
7115,49.92,0.9650,Quick,LargeRandom
1197,49.41,0.9958,Quick,LargeRandom
8318,50.21,0.9606,Quick,LargeRandom
8827,49.67,0.9581,Quick,LargeRandom
2527,49.84,0.9846,Quick,LargeRandom
6526,49.76,0.9667,Quick,LargeRandom
8156,50.07,0.9577,Quick,LargeRandom
7688,49.67,0.9641,Quick,LargeRandom
6749,50.39,0.9667,Quick,LargeRandom
7340,50.09,0.9640,Quick,LargeRandom
2934,49.95,0.9860,Quick,LargeRandom
3676,51.05,0.9861,Quick,LargeRandom
1883,50.00,0.9862,Quick,LargeRandom
4169,49.40,0.9811,Quick,LargeRandom
6170,50.04,0.9637,Quick,LargeRandom
3729,49.79,0.9810,Quick,LargeRandom
5415,50.46,0.9754,Quick,LargeRandom
5511,50.49,0.9722,Quick,LargeRandom
3362,49.96,0.9816,Quick,LargeRandom
9950,49.64,0.9516,Quick,LargeRandom
2444,50.02,0.9849,Quick,LargeRandom
4946,49.50,0.9792,Quick,LargeRandom
1775,49.83,0.9910,Quick,LargeRandom
2271,50.40,0.9859,Quick,LargeRandom
2465,50.45,0.9866,Quick,LargeRandom
2450,49.73,0.9886,Quick,LargeRandom
5667,50.02,0.9681,Quick,LargeRandom
1741,50.34,0.9908,Quick,LargeRandom
1826,49.32,0.9901,Quick,LargeRandom
3232,49.68,0.9817,Quick,LargeRandom
2377,48.57,0.9836,Quick,LargeRandom
3082,50.60,0.9825,Quick,LargeRandom
6411,49.80,0.9671,Quick,LargeRandom
8688,49.93,0.9559,Quick,LargeRandom
8328,50.71,0.9606,Quick,LargeRandom
8030,49.87,0.9601,Quick,LargeRandom
8873,50.06,0.9531,Quick,LargeRandom
5735,49.97,0.9700,Quick,LargeRandom
7318,49.43,0.9628,Quick,LargeRandom
1190,50.55,0.9933,Quick,LargeRandom
6061,50.02,0.9708,Quick,LargeRandom
9429,50.27,0.9545,Quick,LargeRandom
4855,50.56,0.9763,Quick,LargeRandom
9232,49.92,0.9544,Quick,LargeRandom
5895,50.36,0.9652,Quick,LargeRandom
3051,49.77,0.9836,Quick,LargeRandom
5737,49.77,0.9726,Quick,LargeRandom
1779,50.45,0.9904,Quick,LargeRandom
9048,49.57,0.9545,Quick,LargeRandom
4473,50.60,0.9810,Quick,LargeRandom
9590,49.85,0.9510,Quick,LargeRandom
1507,48.07,0.9920,Quick,LargeRandom
6634,49.86,0.9671,Quick,LargeRandom
9641,50.28,0.9559,Quick,LargeRandom
3010,50.22,0.9854,Quick,LargeRandom
8000,50.26,0.9634,Quick,LargeRandom
2780,50.31,0.9853,Quick,LargeRandom
9945,49.70,0.9519,Quick,LargeRandom
4457,50.09,0.9771,Quick,LargeRandom
2957,49.56,0.9861,Quick,LargeRandom
8301,49.93,0.9605,Quick,LargeRandom
5803,49.67,0.9724,Quick,LargeRandom
9261,50.93,0.9563,Quick,LargeRandom
6612,49.74,0.9688,Quick,LargeRandom
5599,50.29,0.9736,Quick,LargeRandom
2759,49.93,0.9924,Quick,LargeRandom
6224,50.06,0.9675,Quick,LargeRandom
8359,49.64,0.9582,Quick,LargeRandom
9089,50.00,0.9527,Quick,LargeRandom
1451,50.14,0.9952,Quick,LargeRandom
3365,49.49,0.9848,Quick,LargeRandom
7887,50.10,0.9615,Quick,LargeRandom
9254,49.89,0.9566,Quick,LargeRandom
5715,50.02,0.9690,Quick,LargeRandom
6417,50.09,0.9709,Quick,LargeRandom
2728,50.06,0.9875,Quick,LargeRandom
3732,49.88,0.9807,Quick,LargeRandom
9573,49.96,0.9538,Quick,LargeRandom
8126,49.92,0.9620,Quick,LargeRandom
3283,49.88,0.9875,Quick,LargeRandom
2307,50.26,0.9892,Quick,LargeRandom
2481,50.28,0.9847,Quick,LargeRandom
5345,49.68,0.9723,Quick,LargeRandom
2672,49.68,0.9850,Quick,LargeRandom
9407,50.17,0.9546,Quick,LargeRandom
3385,50.09,0.9855,Quick,LargeRandom
7691,49.43,0.9640,Quick,LargeRandom
2999,50.47,0.9863,Quick,LargeRandom
1331,49.02,0.9917,Quick,LargeRandom
7674,49.62,0.9630,Quick,LargeRandom
9866,49.81,0.9544,Quick,LargeRandom
2832,49.81,0.9887,Quick,LargeRandom
6158,49.42,0.9700,Quick,LargeRandom
7834,49.75,0.9630,Quick,LargeRandom
3248,50.72,0.9883,Quick,LargeRandom
4080,50.26,0.9826,Quick,LargeRandom
9719,50.02,0.9551,Quick,LargeRandom
1490,49.76,0.9953,Quick,LargeRandom
8057,50.48,0.9621,Quick,LargeRandom
5360,50.61,0.9705,Quick,LargeRandom
7858,50.34,0.9612,Quick,LargeRandom
7232,49.83,0.9635,Quick,LargeRandom
8146,49.80,0.9624,Quick,LargeRandom
6681,50.00,0.9648,Quick,LargeRandom
2021,49.95,0.9906,Quick,LargeRandom
4538,49.92,0.9791,Quick,LargeRandom
5941,49.88,0.9650,Quick,LargeRandom
8400,50.02,0.9579,Quick,LargeRandom
8566,50.26,0.9597,Quick,LargeRandom
3550,51.11,0.9859,Quick,LargeRandom
6981,50.23,0.9671,Quick,LargeRandom
4846,50.11,0.9771,Quick,LargeRandom
8680,50.12,0.9577,Quick,LargeRandom
7675,50.01,0.9629,Quick,LargeRandom
2290,50.42,0.9895,Quick,LargeRandom
2018,49.93,0.9906,Quick,LargeRandom
8774,50.39,0.9519,Quick,LargeRandom
5964,50.13,0.9725,Quick,LargeRandom
5452,50.34,0.9721,Quick,LargeRandom
8650,49.84,0.9562,Quick,LargeRandom
3536,49.53,0.9825,Quick,LargeRandom
8090,50.24,0.9625,Quick,LargeRandom
5643,49.33,0.9708,Quick,LargeRandom
4680,49.01,0.9791,Quick,LargeRandom
5554,49.88,0.9737,Quick,LargeRandom
4130,50.76,0.9835,Quick,LargeRandom
3232,49.46,0.9851,Quick,LargeRandom
6614,50.01,0.9666,Quick,LargeRandom
8056,50.04,0.9629,Quick,LargeRandom
2764,50.45,0.9866,Quick,LargeRandom
9970,49.78,0.9526,Quick,LargeRandom
8384,49.74,0.9567,Quick,LargeRandom
4140,49.48,0.9792,Quick,LargeRandom
9426,49.71,0.9576,Quick,LargeRandom
5886,49.84,0.9660,Quick,LargeRandom
5818,49.65,0.9730,Quick,LargeRandom
4033,50.52,0.9826,Quick,LargeRandom
9047,50.01,0.9577,Quick,LargeRandom
1872,49.33,0.9915,Quick,LargeRandom
7944,49.20,0.9650,Quick,LargeRandom
3297,50.12,0.9836,Quick,LargeRandom
9052,50.15,0.9570,Quick,LargeRandom
1903,50.74,0.9890,Quick,LargeRandom
8536,49.85,0.9610,Quick,LargeRandom
3014,50.22,0.9857,Quick,LargeRandom
1910,50.08,0.9869,Quick,LargeRandom
8438,50.73,0.9597,Quick,LargeRandom
9322,49.62,0.9544,Quick,LargeRandom
9599,50.41,0.9510,Quick,LargeRandom
6314,50.37,0.9685,Quick,LargeRandom
9183,50.29,0.9544,Quick,LargeRandom
8352,50.13,0.9592,Quick,LargeRandom
3661,49.04,0.9825,Quick,LargeRandom
2415,50.25,0.9847,Quick,LargeRandom
9413,49.83,0.9563,Quick,LargeRandom
5361,49.61,0.9724,Quick,LargeRandom
6498,49.95,0.9678,Quick,LargeRandom
9465,49.79,0.9548,Quick,LargeRandom
1415,49.86,0.9922,Quick,LargeRandom
3498,50.50,0.9834,Quick,LargeRandom
2952,49.81,0.9851,Quick,LargeRandom
4762,49.51,0.9748,Quick,LargeRandom
1728,49.22,0.9936,Quick,LargeRandom
8536,50.15,0.9574,Quick,LargeRandom
3040,51.37,0.9839,Quick,LargeRandom
6561,49.73,0.9636,Quick,LargeRandom
5680,49.46,0.9720,Quick,LargeRandom
6776,49.33,0.9680,Quick,LargeRandom
6442,50.68,0.9693,Quick,LargeRandom
9188,49.45,0.9560,Quick,LargeRandom
9786,50.45,0.9498,Quick,LargeRandom
7704,50.23,0.9644,Quick,LargeRandom
4027,50.05,0.9779,Quick,LargeRandom
6750,49.71,0.9677,Quick,LargeRandom
8985,49.87,0.9559,Quick,LargeRandom
9212,49.52,0.9557,Quick,LargeRandom
2911,49.76,0.9866,Quick,LargeRandom
6164,49.81,0.9669,Quick,LargeRandom
1714,49.33,0.9912,Quick,LargeRandom
2469,49.43,0.9870,Quick,LargeRandom
8644,50.24,0.9551,Quick,LargeRandom
5161,49.79,0.9781,Quick,LargeRandom
5237,49.22,0.9744,Quick,LargeRandom
3865,49.74,0.9821,Quick,LargeRandom
9609,50.22,0.9531,Quick,LargeRandom
3778,49.43,0.9788,Quick,LargeRandom
7095,50.04,0.9677,Quick,LargeRandom
4267,50.23,0.9780,Quick,LargeRandom
2839,50.49,0.9834,Quick,LargeRandom
8347,49.65,0.9591,Quick,LargeRandom
9421,49.85,0.9572,Quick,LargeRandom
1910,49.87,0.9906,Quick,LargeRandom
2938,50.56,0.9799,Quick,LargeRandom
8508,50.19,0.9589,Quick,LargeRandom
3729,50.56,0.9834,Quick,LargeRandom
1520,50.16,0.9928,Quick,LargeRandom
1936,50.08,0.9902,Quick,LargeRandom
9526,49.66,0.9540,Quick,LargeRandom
5015,49.46,0.9757,Quick,LargeRandom
7473,49.80,0.9620,Quick,LargeRandom
8620,49.88,0.9638,Quick,LargeRandom
2505,49.44,0.9876,Quick,LargeRandom
8639,49.79,0.9605,Quick,LargeRandom
3644,50.26,0.9822,Quick,LargeRandom
3755,50.11,0.9811,Quick,LargeRandom
3868,50.19,0.9796,Quick,LargeRandom
9626,49.62,0.9547,Quick,LargeRandom
1742,49.45,0.9925,Quick,LargeRandom
8289,49.65,0.9568,Quick,LargeRandom
4844,50.05,0.9740,Quick,LargeRandom
2646,50.62,0.9864,Quick,LargeRandom
7221,50.62,0.9608,Quick,LargeRandom
7471,50.04,0.9628,Quick,LargeRandom
4841,50.27,0.9744,Quick,LargeRandom
7816,50.36,0.9635,Quick,LargeRandom
3954,50.04,0.9836,Quick,LargeRandom
4272,50.15,0.9768,Quick,LargeRandom
2756,50.38,0.9866,Quick,LargeRandom
7119,50.13,0.9633,Quick,LargeRandom
9234,49.91,0.9565,Quick,LargeRandom
5104,49.46,0.9769,Quick,LargeRandom
4110,50.26,0.9796,Quick,LargeRandom
5489,49.44,0.9738,Quick,LargeRandom
6354,50.02,0.9682,Quick,LargeRandom
